date,region_group,일별_합계,산불발생여부
2018-03-30,강원,0,0
2018-03-31,강원,0,0
2018-04-01,강원,1,1
2018-04-02,강원,0,0
2018-04-03,강원,0,0
2018-04-04,강원,0,0
2018-04-05,강원,0,0
2018-04-06,강원,0,0
2018-04-07,강원,0,0
2018-04-08,강원,0,0
2018-04-09,강원,1,1
2018-04-10,강원,0,0
2018-04-11,강원,0,0
2018-04-12,강원,0,0
2018-04-13,강원,1,1
2018-04-14,강원,0,0
2018-04-15,강원,0,0
2018-04-16,강원,0,0
2018-04-17,강원,0,0
2018-04-18,강원,0,0
2018-04-19,강원,1,1
2018-04-20,강원,1,1
2018-04-21,강원,4,1
2018-04-22,강원,0,0
2018-04-23,강원,0,0
2018-04-24,강원,0,0
2018-04-25,강원,0,0
2018-04-26,강원,0,0
2018-04-27,강원,0,0
2018-04-28,강원,0,0
2018-04-29,강원,0,0
2018-04-30,강원,0,0
2018-05-01,강원,0,0
2018-05-02,강원,0,0
2018-05-03,강원,0,0
2018-05-04,강원,0,0
2018-05-05,강원,0,0
2018-05-06,강원,0,0
2018-05-07,강원,0,0
2018-05-08,강원,0,0
2018-05-09,강원,0,0
2018-05-10,강원,0,0
2018-05-11,강원,0,0
2018-05-12,강원,0,0
2018-05-13,강원,0,0
2018-05-14,강원,0,0
2018-05-15,강원,0,0
2018-05-16,강원,0,0
2018-05-17,강원,0,0
2018-05-18,강원,0,0
2018-05-19,강원,0,0
2018-05-20,강원,0,0
2018-05-21,강원,0,0
2018-05-22,강원,0,0
2018-05-23,강원,0,0
2018-05-24,강원,0,0
2018-05-25,강원,0,0
2018-05-26,강원,0,0
2018-05-27,강원,0,0
2018-05-28,강원,0,0
2018-05-29,강원,0,0
2018-05-30,강원,0,0
2018-05-31,강원,0,0
2018-06-01,강원,1,1
2018-06-02,강원,0,0
2018-06-03,강원,0,0
2018-06-04,강원,0,0
2018-06-05,강원,0,0
2018-06-06,강원,0,0
2018-06-07,강원,0,0
2018-06-08,강원,0,0
2018-06-09,강원,0,0
2018-06-10,강원,0,0
2018-06-11,강원,0,0
2018-06-12,강원,0,0
2018-06-13,강원,0,0
2018-06-14,강원,0,0
2018-06-15,강원,0,0
2018-06-16,강원,0,0
2018-06-17,강원,0,0
2018-06-18,강원,0,0
2018-06-19,강원,0,0
2018-06-20,강원,0,0
2018-06-21,강원,0,0
2018-06-22,강원,2,1
2018-06-23,강원,1,1
2018-06-24,강원,2,1
2018-06-25,강원,0,0
2018-06-26,강원,0,0
2018-06-27,강원,0,0
2018-06-28,강원,0,0
2018-06-29,강원,0,0
2018-06-30,강원,0,0
2018-07-01,강원,0,0
2018-07-02,강원,0,0
2018-07-03,강원,0,0
2018-07-04,강원,0,0
2018-07-05,강원,0,0
2018-07-06,강원,0,0
2018-07-07,강원,0,0
2018-07-08,강원,0,0
2018-07-09,강원,0,0
2018-07-10,강원,0,0
2018-07-11,강원,0,0
2018-07-12,강원,0,0
2018-07-13,강원,0,0
2018-07-14,강원,0,0
2018-07-15,강원,0,0
2018-07-16,강원,0,0
2018-07-17,강원,0,0
2018-07-18,강원,0,0
2018-07-19,강원,0,0
2018-07-20,강원,0,0
2018-07-21,강원,0,0
2018-07-22,강원,0,0
2018-07-23,강원,0,0
2018-07-24,강원,0,0
2018-07-25,강원,0,0
2018-07-26,강원,0,0
2018-07-27,강원,0,0
2018-07-28,강원,0,0
2018-07-29,강원,1,1
2018-07-30,강원,0,0
2018-07-31,강원,1,1
2018-08-01,강원,1,1
2018-08-02,강원,0,0
2018-08-03,강원,1,1
2018-08-04,강원,0,0
2018-08-05,강원,2,1
2018-08-06,강원,0,0
2018-08-07,강원,0,0
2018-08-08,강원,0,0
2018-08-09,강원,0,0
2018-08-10,강원,0,0
2018-08-11,강원,0,0
2018-08-12,강원,0,0
2018-08-13,강원,0,0
2018-08-14,강원,0,0
2018-08-15,강원,1,1
2018-08-16,강원,0,0
2018-08-17,강원,1,1
2018-08-18,강원,0,0
2018-08-19,강원,0,0
2018-08-20,강원,0,0
2018-08-21,강원,0,0
2018-08-22,강원,0,0
2018-08-23,강원,0,0
2018-08-24,강원,0,0
2018-08-25,강원,0,0
2018-08-26,강원,0,0
2018-08-27,강원,0,0
2018-08-28,강원,0,0
2018-08-29,강원,0,0
2018-08-30,강원,0,0
2018-08-31,강원,0,0
2018-09-01,강원,0,0
2018-09-02,강원,0,0
2018-09-03,강원,0,0
2018-09-04,강원,0,0
2018-09-05,강원,0,0
2018-09-06,강원,0,0
2018-09-07,강원,0,0
2018-09-08,강원,0,0
2018-09-09,강원,0,0
2018-09-10,강원,0,0
2018-09-11,강원,0,0
2018-09-12,강원,0,0
2018-09-13,강원,0,0
2018-09-14,강원,0,0
2018-09-15,강원,0,0
2018-09-16,강원,0,0
